"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"KCNJ6",5.52089571024448e-21,-2.48489995124941,0.025,0.125,1.09214358940056e-16,"KCNJ6"
"AMMECR1",5.58359036374519e-21,1.8226437957484,0.175,0.045,1.10454584575607e-16,"AMMECR1"
"CDKN2C",5.66996994748412e-21,3.91818333248526,0.1,0.006,1.12163345501131e-16,"CDKN2C"
"RNASEH2C",5.76081639086285e-21,1.06143988415835,0.328,0.147,1.13960469844049e-16,"RNASEH2C"
"IDI1",5.95798461524868e-21,0.507063373477294,0.898,0.778,1.17860851658849e-16,"IDI1"
"HAUS8",6.19411095576404e-21,1.95077230018283,0.138,0.023,1.22531902926924e-16,"HAUS8"
"GALM",6.31649629599757e-21,2.38221932686291,0.131,0.02,1.24952929727424e-16,"GALM"
"C10orf35",6.51350877318684e-21,-1.43355845944289,0.177,0.326,1.28850230551182e-16,"C10orf35"
"UFSP2",6.57111408288579e-21,0.914080797688134,0.419,0.222,1.29989778787647e-16,"UFSP2"
"KMT2E",6.75179497524562e-21,-0.469319583440108,0.805,0.841,1.33564008200309e-16,"KMT2E"
"KRCC1",6.9662020048737e-21,1.27963378042661,0.24,0.086,1.37805408060411e-16,"KRCC1"
"ACADM",7.04448019904105e-21,0.825036729451983,0.39,0.193,1.3935390729743e-16,"ACADM"
"SRSF10",7.33481082556854e-21,0.57563471789579,0.777,0.616,1.45097227751397e-16,"SRSF10"
"SLC3A2",7.78865344943637e-21,0.728533717612472,0.665,0.471,1.5407514253675e-16,"SLC3A2"
"PTPN13",8.86205521974875e-21,2.45510384567447,0.12,0.015,1.7530917635707e-16,"PTPN13"
"HSBP1",8.94657375966764e-21,0.346532761688759,0.943,0.874,1.76981122113745e-16,"HSBP1"
"BCL7A",9.52743622523285e-21,-0.691016432393898,0.474,0.607,1.88471743407556e-16,"BCL7A"
"DUSP16",9.57786714400724e-21,2.48022699424977,0.128,0.019,1.89469367842751e-16,"DUSP16"
"IMPDH2",9.5819299480237e-21,0.656517127672363,0.693,0.498,1.89549738231805e-16,"IMPDH2"
"POLR2L",9.81536740141354e-21,0.65829818538404,0.672,0.481,1.94167597934763e-16,"POLR2L"
"PPP1R17",1.03415633396856e-20,2.12006504374406,0.123,0.017,2.0457680598566e-16,"PPP1R17"
"TRIM3",1.05501921527546e-20,-2.30346543250294,0.044,0.155,2.08703901165792e-16,"TRIM3"
"CORO2B",1.11420937248461e-20,-1.81898037802114,0.083,0.214,2.20412898064905e-16,"CORO2B"
"CORO7",1.12697940059714e-20,-1.68533524885004,0.079,0.21,2.22939065026126e-16,"CORO7"
"RAD50",1.16117673633903e-20,-1.09584837431979,0.309,0.456,2.29703981982586e-16,"RAD50"
"NUP54",1.18245841793487e-20,1.05285658640252,0.313,0.137,2.33913924235875e-16,"NUP54"
"WASF2",1.24817154831181e-20,0.810658168766884,0.392,0.194,2.46913295687041e-16,"WASF2"
"GINS3",1.36129552557756e-20,2.93700092613707,0.108,0.01,2.69291480869752e-16,"GINS3"
"LTBP4",1.4045938200226e-20,0.801869970103473,0.468,0.264,2.7785674947687e-16,"LTBP4"
"COL4A2",1.41768667383592e-20,1.58784936915571,0.22,0.075,2.80446777818222e-16,"COL4A2"
"MAST1",1.42158961093109e-20,-2.57299105850483,0.035,0.14,2.81218856834388e-16,"MAST1"
"PREX2",1.44284083501907e-20,2.34718239680118,0.115,0.013,2.85422773983473e-16,"PREX2"
"RSRC2",1.53448971402857e-20,0.542859619157459,0.857,0.739,3.03552755229132e-16,"RSRC2"
