"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
"TCEAL3",0.264347089727022,-0.420788951776051,0.288,0.273,1,"TCEAL3","Not Significant"
"AKAP11",0.264363094259975,-0.516473799761549,0.125,0.129,1,"AKAP11","Not Significant"
"ANKRD50",0.26665554152026,-0.27585810468494,0.113,0.098,1,"ANKRD50","Not Significant"
"DGCR5",0.26671434383657,-0.507542410732523,0.105,0.111,1,"DGCR5","Not Significant"
"YY1AP1",0.268186992617492,-0.47510486011542,0.192,0.19,1,"YY1AP1","Not Significant"
"ARHGEF2",0.270875871360871,-0.291687622382757,0.229,0.197,1,"ARHGEF2","Not Significant"
"GTPBP3",0.270952357514215,-0.284879983397205,0.141,0.123,1,"GTPBP3","Not Significant"
"STRBP",0.271001862478762,-0.316298122916559,0.392,0.359,1,"STRBP","Not Significant"
"CHERP",0.271328934197421,-0.319176786145756,0.203,0.174,1,"CHERP","Not Significant"
"DNAL4",0.272884005024524,-0.547387082394978,0.137,0.141,1,"DNAL4","Not Significant"
"INTS12",0.273622274710654,-0.256247719603833,0.198,0.172,1,"INTS12","Not Significant"
"ESCO1",0.2747146693689,-0.57424812283938,0.134,0.137,1,"ESCO1","Not Significant"
"CDC42SE1",0.276976035372515,-0.488450543091317,0.221,0.213,1,"CDC42SE1","Not Significant"
"TPT1-AS1",0.277928454032106,-0.25777678994099,0.253,0.218,1,"TPT1-AS1","Not Significant"
"MAPKAPK5",0.278099829288611,-0.262789493441775,0.278,0.237,1,"MAPKAPK5","Not Significant"
"JAK1",0.27935748103271,-0.423247293988845,0.205,0.201,1,"JAK1","Not Significant"
"RP11-1094M14.11",0.280516427096875,-0.529773535253341,0.214,0.205,1,"RP11-1094M14.11","Not Significant"
"CDKAL1",0.280966934932663,-0.314321250820514,0.101,0.088,1,"CDKAL1","Not Significant"
"DIS3L2",0.281083368492192,-0.299879560490476,0.111,0.097,1,"DIS3L2","Not Significant"
"CEP97",0.28243042787301,-0.323557125288869,0.108,0.094,1,"CEP97","Not Significant"
"CKAP5",0.28300499698768,-0.469875501087726,0.236,0.226,1,"CKAP5","Not Significant"
"SCOC",0.283451793259874,-0.262860003825208,0.548,0.471,1,"SCOC","Not Significant"
"EPN2",0.28453223630015,-0.445329988337279,0.219,0.215,1,"EPN2","Not Significant"
"NFYC",0.286285323361929,-0.475129462166476,0.252,0.24,1,"NFYC","Not Significant"
"SLC25A17",0.287480273837969,-0.442677312865547,0.159,0.161,1,"SLC25A17","Not Significant"
"ANKIB1",0.287493727613373,-0.40192494402767,0.206,0.205,1,"ANKIB1","Not Significant"
"NDRG2",0.288209248148126,-0.278264397193391,0.143,0.125,1,"NDRG2","Not Significant"
"UBE2Z",0.288527610712781,-0.528538317979582,0.168,0.169,1,"UBE2Z","Not Significant"
"FAXC",0.289986206979059,-0.381192520264275,0.17,0.172,1,"FAXC","Not Significant"
"AKIP1",0.292530961874623,-0.267318283630388,0.194,0.17,1,"AKIP1","Not Significant"
"BAP1",0.293300969956952,-0.254676061833758,0.128,0.113,1,"BAP1","Not Significant"
"EGLN2",0.294568731912204,-0.401506196860988,0.302,0.281,1,"EGLN2","Not Significant"
"WSB2",0.294849573986624,-0.483280370130917,0.214,0.208,1,"WSB2","Not Significant"
"ASPHD2",0.295801598452573,-0.361749287104901,0.093,0.1,1,"ASPHD2","Not Significant"
"SGF29",0.296426779259948,-0.324692679778076,0.133,0.116,1,"SGF29","Not Significant"
"ZNF7",0.296815671555977,-0.26102943145353,0.17,0.148,1,"ZNF7","Not Significant"
"PTPRO",0.298351390987915,-0.438397479246965,0.1,0.107,1,"PTPRO","Not Significant"
"ZNF25",0.298788281772896,-0.286623250143823,0.107,0.094,1,"ZNF25","Not Significant"
"NR2F1-AS1",0.301729830654723,-0.328099362458643,0.255,0.217,1,"NR2F1-AS1","Not Significant"
"PDS5B",0.302018720787058,-0.544005975523748,0.291,0.27,1,"PDS5B","Not Significant"
"SENP7",0.304744649649697,-0.545166267404462,0.144,0.147,1,"SENP7","Not Significant"
"MIDN",0.30521619009815,-0.364125700745484,0.452,0.401,1,"MIDN","Not Significant"
"DHDDS",0.305280683794688,-0.305105692839267,0.1,0.087,1,"DHDDS","Not Significant"
"ZNF711",0.305505233115404,-0.54366166217701,0.227,0.216,1,"ZNF711","Not Significant"
"RGS2",0.306371870482092,-0.335840336690367,0.236,0.231,1,"RGS2","Not Significant"
"CTC-524C5.2",0.307262010058587,-0.310592778928386,0.104,0.091,1,"CTC-524C5.2","Not Significant"
"CCDC82",0.307826386896937,-0.351284283378067,0.344,0.32,1,"CCDC82","Not Significant"
"KIAA0930",0.307984573441291,-0.48281200814171,0.131,0.134,1,"KIAA0930","Not Significant"
"SLC35B1",0.310490480758993,-0.373496898120482,0.315,0.296,1,"SLC35B1","Not Significant"
"ATN1",0.311719395635638,-0.502323093939298,0.195,0.19,1,"ATN1","Not Significant"
"MMD",0.312627899123704,-0.354248592381931,0.337,0.311,1,"MMD","Not Significant"
"NUDT2",0.313516431339441,-0.303657530562879,0.192,0.168,1,"NUDT2","Not Significant"
"CUL2",0.314817300912811,-0.260838051086397,0.182,0.159,1,"CUL2","Not Significant"
"RAB6B",0.315264159838318,-0.324837027018435,0.176,0.153,1,"RAB6B","Not Significant"
"MTMR2",0.316183681491875,-0.545980411835494,0.105,0.11,1,"MTMR2","Not Significant"
"ZFP82",0.31631720005683,-0.320550867159516,0.198,0.172,1,"ZFP82","Not Significant"
"CPTP",0.318594763817766,-0.516347472357072,0.118,0.122,1,"CPTP","Not Significant"
"LPIN1",0.319924102116949,-0.537392788331481,0.154,0.155,1,"LPIN1","Not Significant"
"MAEA",0.32093199494622,-0.445582938274483,0.202,0.197,1,"MAEA","Not Significant"
"TBC1D12",0.323278724097676,-0.498468875200027,0.18,0.177,1,"TBC1D12","Not Significant"
"NGRN",0.323679156424457,-0.63454336705121,0.098,0.102,1,"NGRN","Not Significant"
"GPHN",0.327481440954578,-0.518088348139561,0.121,0.124,1,"GPHN","Not Significant"
"ITFG2",0.328668257156541,-0.645795707469826,0.102,0.106,1,"ITFG2","Not Significant"
"SP3",0.32905640189954,-0.364221417234972,0.173,0.149,1,"SP3","Not Significant"
"ZNF48",0.330056060419396,-0.497120175906659,0.196,0.192,1,"ZNF48","Not Significant"
"RAB2B",0.332412717350957,-0.637786709671993,0.113,0.116,1,"RAB2B","Not Significant"
"BAG5",0.332533547799239,-0.574724955965388,0.193,0.188,1,"BAG5","Not Significant"
"SLC25A46",0.3356212683935,-0.363630855842161,0.12,0.105,1,"SLC25A46","Not Significant"
"FOXJ3",0.336235713868214,-0.425650626252381,0.118,0.123,1,"FOXJ3","Not Significant"
"SNRNP27",0.336384290119126,-0.305307197422267,0.398,0.363,1,"SNRNP27","Not Significant"
"VHL",0.336573754205696,-0.281525125212387,0.185,0.162,1,"VHL","Not Significant"
"RNF167",0.336814830229513,-0.278154171984718,0.277,0.238,1,"RNF167","Not Significant"
"C15orf61",0.337970376032093,-0.322822247307521,0.156,0.137,1,"C15orf61","Not Significant"
"CDK19",0.338683567508566,-0.284056124129409,0.226,0.196,1,"CDK19","Not Significant"
"FBXW11",0.33999138955563,-0.27256504159209,0.239,0.206,1,"FBXW11","Not Significant"
"ZBTB22",0.340211424754842,-0.493644505862827,0.113,0.118,1,"ZBTB22","Not Significant"
"BRF1",0.341729248841594,-0.275132791902417,0.122,0.109,1,"BRF1","Not Significant"
"UBXN2B",0.342245728789274,-0.39698258615684,0.106,0.093,1,"UBXN2B","Not Significant"
"ELOVL6",0.34333469306315,-0.34740172815274,0.267,0.228,1,"ELOVL6","Not Significant"
"LETM1",0.343754199914553,-0.263789516254209,0.19,0.166,1,"LETM1","Not Significant"
"ZNF136",0.345150030778234,-0.593451078598762,0.104,0.108,1,"ZNF136","Not Significant"
"COX19",0.345539982029694,-0.352663186982312,0.239,0.204,1,"COX19","Not Significant"
"C5orf15",0.347001338842535,-0.310081512580055,0.179,0.157,1,"C5orf15","Not Significant"
"ZNF576",0.347606853962522,-0.337902996166072,0.106,0.093,1,"ZNF576","Not Significant"
"CEP164",0.349380029245605,-0.278777161859031,0.149,0.133,1,"CEP164","Not Significant"
